Tm,Player,Pos,Posnum,Age,Conf,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
ATL,Dennis Schroder,PG,1,23,E,79,2485,16.1,0.533,0.242,0.21,1.9,9,5.5,35.5,1.5,0.6,16.3,27.8,1.2,2.5,3.7,0.071,0.7,-1.4,-0.7,0.8
ATL,Paul Millsap,PF,4,31,E,69,2343,17.8,0.542,0.248,0.417,5.3,19.5,12.5,17.9,1.9,2.3,12.1,24.4,2.6,3.8,6.4,0.132,0.5,2.1,2.7,2.7
ATL,Dwight Howard,C,5,31,E,74,2199,20.8,0.627,0.003,0.692,15,31.7,23.5,7.8,1.4,3.6,17.5,19.2,3.8,4.5,8.3,0.181,-0.5,2.8,2.3,2.4
ATL,Tim Hardaway,SG,2,24,E,79,2154,15.2,0.568,0.457,0.235,1.8,9.5,5.7,14.3,1.3,0.6,9.5,22.5,2.7,2.1,4.8,0.107,1.3,-1.5,-0.3,0.9
ATL,Kent Bazemore,SF,3,27,E,73,1963,11.5,0.504,0.369,0.233,2.6,10.3,6.5,14.2,2.3,2.3,13.6,20.5,-0.6,2.8,2.1,0.052,-2,1.2,-0.8,0.6
BOS,Isaiah Thomas,PG,1,27,E,76,2569,26.5,0.625,0.439,0.441,1.9,7,4.4,32.5,1.4,0.4,10.7,34,10.9,1.6,12.5,0.234,8.7,-3.3,5.4,4.8
BOS,Marcus Smart,SG,2,22,E,79,2399,12,0.486,0.443,0.334,3.7,10.4,7.1,22,2.6,1.2,15.6,18.8,0.5,2.7,3.2,0.064,-1.1,0.9,-0.3,1
BOS,Jae Crowder,SF,3,26,E,72,2335,14.9,0.613,0.547,0.301,2.3,17.3,9.9,10.1,1.6,0.8,8.9,17,4.1,2.5,6.7,0.137,1.4,0.2,1.6,2.1
BOS,Al Horford,C,5,30,E,68,2193,17.7,0.553,0.302,0.169,4.9,18.6,11.8,24.4,1.2,3.2,11.8,19.7,3.6,2.7,6.3,0.138,1,2,3.1,2.8
BOS,Amir Johnson,PF,4,29,E,80,1608,15,0.628,0.178,0.27,8.3,17,12.7,13,1.6,3.2,15.7,13.6,2.9,2.1,5,0.149,-0.2,2.4,2.2,1.7
BRK,Brook Lopez,C,5,28,E,75,2222,20.4,0.578,0.33,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,3.1,1.8,4.9,0.105,1.9,-0.4,1.5,2
BRK,Rondae Hollis-Jefferson,SF,3,22,E,78,1761,13.7,0.517,0.124,0.467,5.8,21.1,13.6,13.4,2.2,1.9,15.1,18.7,0.4,2.2,2.6,0.07,-2.9,1.9,-1,0.4
BRK,Trevor Booker,PF,4,29,E,71,1754,15.7,0.554,0.132,0.186,8.7,25.5,17.2,12.9,2,1.2,16.6,18.7,1,2.2,3.1,0.086,-1.6,1.7,0.1,0.9
